title|description
accounting profit|The level of profit calculated using standard accounting principles. Accounting profit is equal to sales revenue less the explicit costs of a firm’s operation, such as input costs, depreciation, interest, and taxes. In contrast, the calculation of *economic profit also includes the normal return to capital as a cost.
accounts payable|The part of a firm’s *liabilities, as shown in its *balance sheet, consisting of bills received from suppliers on which payment is due but has not yet actually been made.
accounts receivable|The part of a firm’s *assets, as shown in its *balance-sheet, consisting of bills sent to customers on which payment is due but has not yet actually been received.
accrual rate|The fraction used to express the rate of increase of the pension entitlement in a *final salary scheme. Sixtieths and eightieths are the most commonly found rates. For example, in a sixtieth scheme the accrual rate is 1/60 of final salary per year. Hence, after 30 years’ service a pension of one half (30/60) of final salary will be paid.
acquisition|(company) Expansion of a *company through the purchase of another business. If this is unincorporated, terms are agreed with the owners. If the other business is a public company, its *shares are bought. Where some, but not all, of the shares of another company are bought, special rules govern the treatment of existing shareholders who do not wish to sell their holdings. See also reverse takeover.
acquisitions approach|An approach to the construction of a *consumer price index in which consumption is identified with the acquisition of consumption goods and services in a given period. For some goods acquisition and consumption are the same, but for durables the two are distinct. This is the approach commonly adopted by statistical agencies for all goods other than owner-occupied housing.
active labour market policies|Government intervention in the labour market to assist the unemployed to find work. Examples include job centres and labour exchanges that help with job search, training schemes to provide vocational skills, and employment subsidies to create jobs. Many governments employ active labour market programmes, for example the Work Programme in the UK and workfare programmes in the US.
actuarial assumption|An estimate of a random variable that is used in a financial calculation to determine a premium or a benefit. For example, the premium charged for a life insurance policy requires an estimate of a person’s remaining lifespan given their individual characteristics (such as age, gender, health, and occupation). The estimate is calculated by an *actuary, using past data.
actuarially fair odds|See fair odds.
actuary|An expert who uses statistical records to predict the probability of future events. An actuary uses records of the occurrence of uncertain events, such as death at given ages, or fire, theft, and accidents involving cars, to predict how frequently similar events are likely to occur in the future. These predictions take account of observed trends in health or crime, as well as past facts. Actuarial expertise enables *insurance companies to write policies with an expectation of making profits, without complete certainty.
adaptation|Policies and actions to prevent or reduce the adverse effects of *climate change. Examples of adaptation policies include building flood defences and developing resilient crops. The *European Commission adopted an EU Adaptation Plan in 2013 to facilitate coordination among the EU member countries in developing and implementing adaptation strategies. See also mitigation.
adaptive expectations|The principle that the future value of an economic variable is calculated using the previous prediction plus some fraction of the difference between the previous prediction and the outcome. Hence, the value expected at , is given by , where  is the forecast for t−1, pt−1 the outcome in t−1, and θ is a positive constant. Under adaptive expectations people learn from their experience, in a predictable way. For example, if the current inflation rate is higher than had been expected, people revise their expectations for the future inflation rate upwards.
adjustable long-term putable security|A *dual currency bond with floating interest rate and an inbuilt *put option.
adjustable peg|A system where countries stabilize their *exchange rates around *par values that they retain the right to change. Under this system a country undertakes to intervene in the foreign exchange market to keep its currency within some margin, for example 1 per cent, of some given exchange rate parity, the ‘peg’. The country retains the right to adjust the parity, that is, to move the peg. This was more or less the case under the *Bretton Woods system in the 1950s and 1960s. This system provides opportunities for *speculators at times when it appears that the peg is going to have to move, but has not yet done so. Defending a peg can be very costly for a central bank. If speculators believe the currency will depreciate then they will sell, and the bank must buy to maintain the peg. The reverse is true if speculators believe the currency will appreciate.
adjusted R-squared|A version of the *coefficient of determination (R-squared) adjusted for the degrees of freedom. While R-squared will never decrease when adding a variable to regression, adjusted R-squared will rise or fall, depending on whether the contribution of the new variable to the fit of the regression more than offsets the correction for the loss of an additional degree of freedom. More specifically, it will rise if and only if the test statistic in the *t-test for the individual significance of the added variable (or the test statistic in the *F-test for the joint significance of the added group of variables) is greater than one. Adjusted R-squared can be negative if the model fit is extremely poor.
adjustment|See cyclical adjustment; partial adjustment; seasonal adjustment.
adjustment costs|The costs of making changes in the economic *variables one controls. Any economic agent, whether an individual, a firm, or a government, has *preferences which determine what the optimal levels of the variables under their control would be, if they could adjust them without cost. When actual levels differ from these optimal levels, adjustment costs must be considered. If adjustment costs are lump-sum, or increase proportionally or less than in proportion to the changes made in any one period, it will pay to make at once any change that is worth making at all. If adjustment costs increase more than proportionally to the size of the change, however, it pays to adjust only gradually. In adjusting its labour force, for example, a firm may find that small increases present no recruitment problem, and small decreases can be accommodated by *natural wastage because of retirements and other voluntary departures, whereas rapid recruitment poses serious selection and training problems, and rapid decline involves *redundancies, which are expensive and damaging to morale. See also menu costs.
adjustment programme|A package of policy measures designed to cure *balance-of-payments problems. Adoption of a satisfactory adjustment programme is frequently made a condition of assistance from the *International Monetary Fund. Curing balance-of-payments problems requires decreasing *absorption relative to production. This can be approached via reducing absorption, by cutting government spending, and/or increasing taxes. It can also be approached via increasing production by using resources more efficiently; this often involves increased use of the market mechanism and *devaluation of overvalued currencies.
administered price|A price set by some form of administrative process, rather than determined by market clearing. The levels of, and changes in, administered prices often require the consent of the government or of some official regulatory body. Administered prices may be maxima, as in the case of *rent controls, or minima, as with *minimum wage laws and some agricultural policies that help guarantee income levels for farmers. Other supporting measures, such as quantitative restrictions, subsidies, and government stockpiles, are used to sustain the administered price.
administration|The situation of a *company in financial difficulties whose affairs are put into the hands of an administrator by court order. The object of administration is to enable the company to survive as a going concern or, if that proves impossible, to get a better price for its assets than immediate *liquidation would produce.
adoption|The take-up of new technology by firms or consumers. A high rate of adoption is linked to economic growth. It has been argued that successful technologies are now adopted much more quickly than in the past. For example, it took 40 years for the telephone to be adopted by 40 per cent of US households but only ten years for the smartphones to achieve the same level of adoption.
ad valorem tax|A tax proportional to the price of the object being taxed. An example is the *value-added tax (VAT) levied in the European Union. In contrast, a *specific tax is levied at a rate per unit of quantity, independent of the price, such as, for example, some *excise duties. Ad valorem taxes have the advantageous feature that their real value is not eroded by *inflation.
advance corporation tax|(ACT) The system by which UK companies deducted income tax at source when distributing *dividends to their shareholders. With a tax rate of 100t per cent, companies paid the Inland Revenue £t/(1 − t) for every £1 distributed to shareholders. These payments were treated as a payment on account of the company’s own *corporation tax. ACT was abolished in 1999.
advanced economies|In the *International Monetary Fund classification these are countries characterized by high per capita income, diversified exports, and close integration into the global financial system. The 39 advanced economies include, among others, the *G7 countries and all countries in the *euro area. In 2015, according to the IMF, this group of economies contributed 42.4 per cent of world GDP, whereas their share in world population was only 14.6 per cent.
advances|Bank loans to their customers. These may be *unsecured loans, but are often secured by the bank holding stocks and shares or *life insurance policies owned by the borrower.
advantage|See absolute advantage; comparative advantage.
adverse selection|The tendency for a *contract to attract the types of agent that are least profitable for the issuer. For example, if an insurer offers *health insurance without any medical examination, the expectation is that people with poor health prospects are likely to accept it, while people with better health prospects, who can get better terms from a more selective insurer, will reject the unconditional contract. In trying to be non-selective, adverse selection causes the worst risks to select themselves. Adverse selection is a consequence of *asymmetric information: agents know their own type (private information) but this is unobservable (not public information). Contracts that could be offered if agent types were observable cannot be offered when types are unobservable, so adverse selection can lead to *market failure.
adverse supply shock|An unexpected shift of the supply curve to the left, i.e. a reduction in the quantity supplied for any given price. This could result from natural disasters such as floods or earthquakes; from human, animal, or plant diseases; or from major political upheavals such as war or revolution. To oil importers, the sudden price increases imposed by the *Organization of Petroleum Exporting Countries in the 1970s appeared as adverse supply shocks. Such a shock reduces the *real income an economy can produce even at full employment of its available resources. Supply shocks are used as a modelling device in macroeconomics to represent aggregate economic risk.
advertising|Activity designed to sell products. It seeks to attract the attention of potential customers, inform them of the existence and attributes of a product, and persuade them to start or continue to buy it. It works via the media, that is, newspapers, television, or the internet; by shop displays, posters, or mailshots; or through the actual design of products themselves and their packaging. While there is a logical distinction between informative and persuasive advertising, psychologically these are extremely difficult to distinguish. Political, charitable, and religious bodies, and the government, advertise, as well as commercial organizations.
Advisory, Conciliation and Arbitration Service|(ACAS) A UK *quango providing facilities for conciliation, arbitration, and mediation in *industrial disputes.
affirmative action|A principle underlying policies in employment and education aimed at ensuring equal opportunities for all. It extends non-discrimination on the grounds of race, ethnic origin, religion, gender identity, and sexual orientation, to the objective of achieving, over the course of time, a profile of the workforce or the student body that reflects the representation of various groups in the pool from which the enterprise or institution recruits its workers or students.
after-sales service|The provision of services after goods have been sold which make them more useful to customers. This can include advice on and training in the use of the product; routine maintenance, servicing, and repairs in the event of breakdown; provision of materials and spare parts; replacement under *warranty in the event of failure of the goods supplied; and updating if the product is developed further. Customers’ expectations of cheap and efficient after-sales service are of great importance in making products competitive, and lack of customer confidence in the quality and price of after-sales services may make products unsaleable. See also competitiveness.
after-tax income|The income remaining to an individual or a company after *direct taxes have been paid. The calculation of after-tax income takes no account of the liability to *indirect taxes when the income is spent.
age-dependency ratio|A ratio that measures the number of dependents in the population relative to the number of economically active. A higher ratio indicates greater reliance of the non-working population on goods and services produced by the working population in the society. Let No be the size of the population aged over 65, Ny the population aged below 15, and Na the economically active population aged 15–64. The old-age-dependency ratio is No/Na, the young-age-dependency ratio is Ny/Na, and the total dependency ratio is (Ny + No)/Na. The old-age-dependency ratio is increasing in many countries and is an important factor in the *pensions crisis.
age-earnings profile|The relationship between age and the mean earnings of workers of that age. Such profiles can be constructed for all workers, or for specified groups of workers by the type of occupation or by socio-demographic characteristics, for example, manual workers, professional workers, workers with a college degree, female workers, etc.
agency cost|See agency theory.
agency problem|The difficulties encountered when a principal delegates a task to an agent. The agency problem arises when the principal and the agent have different objectives and there is *asymmetric information and an *incomplete contract. The asymmetric information prevents the principal from perfectly monitoring the agent, and the incomplete contract makes it impossible to determine what will occur in all possible contingencies. The principal cannot therefore ensure that the agent always chooses the action the principal would wish to see chosen. *Agency theory determines how contracts can be designed to ensure that these problems are best mitigated.
agency theory|The theory of the contractual relationship between a principal and an agent. Agency theory analyses the issues that arise when a principal delegates a task to an agent but there is *asymmetric information and an *incomplete contract. The basis of the analysis is that the principal and the agent have different objectives. For example, the owner of a firm (the principal) may wish to maximize profit but the manager of the firm (the agent) aims to maximize a utility function that is increasing in income but decreasing in effort. The first-best contract would make the reward a function of effort and be designed to induce the efficient effort level in every circumstance. The agency problem arises when there is an asymmetry of information such that the principal cannot observe the effort level of the manager and hence cannot condition the contract upon it. Instead, the contract has to be conditioned upon an observable and verifiable quantity such as the level of profit. This prevents the contract from ensuring that the efficient level of effort is always supplied. The design of the contract has to take into account incentive effects and the allocation of risk between the principal and the agent. It is often assumed that the principal is *risk-neutral and the agent *risk-averse, in which case, putting incentive effects to one side, all of the variability in pay-off should fall on the principal. Such a contract does not provide any incentive for the agent, so leading to the balance of risk sharing and incentives. The need to provide an incentive to the agent makes the expected profit of the principal lower than that with the first-best contract that could be used with no asymmetry of information. This is the agency cost of implementing a second-best contract in the presence of asymmetric information. Agency theory has found many applications in economics. Two illustrative examples are the consequences of the separation of control between shareholders and managers, and the delegation of taxation and *public good provision to states within a federation.
agent-based modelling|The use of computational models to simulate the decisions and interaction of individual agents within an economic environment. Typically, the agents are consumers and firms who maximize *utility and *profit respectively. The individual decisions taken in a period determine the pay-off for each agent in that period, and imply the environment in which decisions are taken in the next period. The models are popular for tracing the evolution of a system over time and exploring how this evolution is affected by changes in underlying parameters.
agglomeration economies|The *external economies of scale available to individuals or firms in large concentrations of population and economic activity. These arise because larger markets allow wider choice and a greater range of specialist services. Agglomeration economies are believed to explain the tendency of conurbations to contain an increasing share of the population of many countries.
aggregate data|High-level data that is obtained by combining (or ‘aggregating’) individual-level data. For example, industry output is the aggregate of the individual outputs by firms in that industry.
aggregate demand|The total of intended or *ex ante attempts to spend on final goods and services produced in a country. In a *closed economy aggregate demand is the sum of consumption, investment, and government spending on goods and services. In an *open economy in addition to this it includes export demand and excludes imports. A rise in aggregate demand is a necessary condition for an increase in real output. It is not a sufficient condition, however, unless an economy has spare *capacity to produce the goods and services demanded. If the goods demanded are available only as imports, these rise; if the extra goods are not available at all, inflationary pressure is created.
aggregate demand schedule|A diagram showing for each level of *national income the total level of aggregate demand in an economy that would result from it. *Internal balance in the economy requires that aggregate demand be equal to national income.
aggregate production function|See production function.
aggregate supply|The total amount of real goods and services that the enterprises in an economy are willing to provide at any given ratio of prices to wages. This can be increased by greater *productivity due to increases in the volume of productive equipment or improvements in technical knowledge or the quality of the labour force. Whether actual output equals aggregate supply depends on two conditions. First, there must be sufficient aggregate demand to match the supply: if there is not, output is demand-constrained. Second, there must be a sufficient supply of labour to satisfy firms’ demand for it: if *real wages are low, aggregate supply by firms may require more employment than the labour supply forthcoming at these wages, in which case output is constrained by labour shortages. In an economy where firms do not act competitively, the concept of aggregate supply is not applicable: firms in markets characterized by *imperfect competition do not have supply curves. See also demand-determined output.
aggregation|The process of summing individual values into a total value. *Aggregate demand is the sum of demand from individual economic agents, and the aggregate capital stock is the sum of capital held by individual firms.
aggregation problem|1. The conceptual difficulties encountered when an aggregate value is used to represent the total of individual values. Consider an economy with many firms, each of which uses inputs of capital and labour to produce output. Two forms of aggregation problem can arise. First, any attempt to sum the quantities of capital used by individual firms to arrive at an aggregate quantity of capital has to confront the issue posed by different types of capital. For instance, the number of metal presses used by a car manufacturer cannot just be added to the number of computers used by a software developer. Second, even if all firms use the same type of capital, it is generally not possible to aggregate the firms into a single representative firm using the aggregate stock of capital. For this to be possible it has to be the case that one extra unit of aggregate capital produces the same additional output as one extra unit of capital for an individual firm. This is only true if all firms have access to the same *constant returns to scale production technology.
agricultural protection|The use of *tariffs and trade controls on agricultural products to raise their prices in a country and thus to increase its farmers’ incomes. This may be desired to slow down the tendency for the share of agriculture in total income and employment to decrease. It may also aim at increasing self-sufficiency in foodstuffs and agricultural raw materials in the interests of national security. Agriculture is protected in most industrial countries, particularly in the European Union, Japan, and the US. Agricultural protection in advanced countries hinders economic growth in *less developed countries, most of which are net exporters of agricultural products.
agroecosystem|A functionally and spatially coherent agricultural unit. The analysis of agroecosystems considers all the activities of the agroecosystem including traditional inputs and outputs and, in addition, the impact upon the wider environment of the system.
aid|Economic assistance from one country to another, the recipient typically being a *less developed country. Aid is usually intended either to provide humanitarian relief in emergencies, to promote economic development, or to finance military expenditure. Aid may take the form of outright gifts of money, which may be tied to purchases from the donor, or untied and available for expenditure anywhere. It may take the form of *soft loans, on terms easier than those available to the borrower in the world capital market. Aid may also be given in kind, including food, plant and equipment, military supplies, or technical assistance. Bilateral aid is given directly by a donor to a recipient country; multilateral aid is channelled through an international organization, without direct contact between donors and particular recipients. See also grant in aid; tied aid; untied aid.
aid-in-kind|*Aid provided in the form of goods or services rather than in the form of money. Monetization of aid-in-kind occurs when the goods or services are subsequently sold by the recipient and the proceeds used to finance public expenditure.
Aid to Families with Dependent Children|(AFDC) A US federal welfare programme, originally set up in 1935, that enabled states to use federal grants to provide financial support for poor children. AFDC was replaced in 1996 by *Temporary Assistance to Needy Families.
Aitken estimator|This is more commonly known as the *generalized least squares estimator.
Allais paradox|An example of choice under uncertainty where the outcome for most experimental subjects violates the axioms of *expected utility theory. In the first experiment subjects are requested to choose between winning £1 million for sure and a gamble in which the prizes are £1 million with probability 0.89, £5 million with probability 0.10, and nothing with probability 0.01. Most experimental subjects would choose the option of £1 million for sure. In the second experiment the choice is between two different gambles. For the first gamble the prizes are nothing with probability 0.89 and £1 million with probability 0.11. The second gamble has prizes of nothing with probability 0.90 and £5 million with probability 0.10. Most subjects choose the second gamble. These typical choices violate the independence axiom of expected utility theory: if the first option is chosen in the first experiment then the first option should also be chosen in the second experiment. The Allais paradox and other similar examples have motivated the search for alternatives to expected utility theory. See also anomalies; behavioural economics; decision theory; prospect theory.
Almon distributed lag|A version of a restricted lag model in which the lag coefficients are parameterized as polynomial functions. This model allows the capture of delayed or non-monotonic impact of lagged variables upon the dependent variable and is used mostly for relatively short time series with long lags. The major drawback, common for restrictive functional forms, is the induced *autocorrelation.
almost sure convergence|"(convergence almost everywhere, convergence with probability one, strong convergence) A random variable xn converges to a constant c almost surely if the probability of observing a sequence that does not converge to c vanishes for n large enough. Formally, as n goes to infinity, lim Prob[|xi − c| > ε for all i ≥ n] = 0 for all ε > 0. Almost sure convergence implies *convergence in probability."
alpha stocks|The most actively traded securities in the *Stock Exchange Automated Quotation System. About 100 securities came into this category when it was in official use by the London Stock Exchange. These were shares of companies with high turnover and high *market capitalization. Alpha stocks had numerous *market-makers, and immediate publication of transactions in them was required. They were part of a system of categorization that also included beta, gamma, and delta stocks which were those of smaller companies, and less intensively traded.
altruism|Selfless concern for others. Standard economic analysis assumes decision-makers are motivated by self-interest. This assumption is inconsistent with many observed economic choices such as contributions to charities that do not provide any direct benefit to the donor. The concept of altruism has been invoked to explain these observations. It is questionable whether altruism can be incorporated in an economic framework since, if there is any increase in utility from an act of altruism, the act cannot be purely selfless.
amalgamation|See merger.
ambiguity|A situation in which a decision-maker knows the possible future events that may occur but does not know what probability to assign to each event. It can be modelled by assuming the decision-maker knows what probability distributions over events are possible and assigns a probability to each distribution. An example of ambiguity is the following. Assume that the possible future events are high inflation or low inflation. The decision-maker knows that two probability distributions are possible: either a 60 per cent chance of high inflation (and a 40 per cent chance of low inflation) or a 30 per cent chance of high inflation (and a 70 per cent chance of low), and assigns a 50 per cent chance to each of these distributions. Ambiguity falls between ignorance (no probability distributions are ruled out) and risk (there is a unique probability distribution). See also behavioural economics.
ambiguity rule|A US legal rule which requires judges to construe ambiguities (expressions that can be given more than one acceptable interpretation) in insurance contracts against the insurer and therefore in favour of the insured. To prevail in a coverage dispute an insured party need only demonstrate that their interpretation of the contract is reasonable to establish that the contract is ambiguous.
American Economic Association|(AEA) The American Economic Association was first organized in 1885 and incorporated in 1923. The main purposes of the association are the encouragement of economic research, the issue of publications on economic subjects, and the organization of the US job market for economists.
American Federation of Labor and Congress of Industrial Organizations|(AFL-CIO) The main US labour federation. The name results from the amalgamation in 1955 of two associations: the AFL representing mainly craft unions, and the CIO representing mainly industrial unions. The AFL-CIO operates mostly at the political level: wage and other industrial bargaining is carried out by its member unions. It is the US equivalent of the UK’s *Trades Union Congress (TUC).
amortization|The building up over a period of a fund to replace a productive asset at the end of its useful life, or to repay a loan. In the case of a loan, the amount required for amortization depends on the interest rate that can be earned on the accumulated fund. In the case of replacement of physical assets, the amount needed depends not only on the interest rate, but also on the expected lifetime of the asset and on the rate of inflation, which affects the expected cost of replacement.
analysis of variance|A statistical technique based on decomposing the total *variance of some characteristic of a population into parts correlated with other characteristics, and *residual variation. In particular, analysis of variance is used to test whether sections of a population appear to differ significantly in some property. For example, if yi is the personal income of individual i, analysis of variance can be used to test whether there are significant regional differences in mean income. The total variance of the population is decomposed into the part due to differences within regions, and the part due to differences between regional means. The larger the proportion of total variance due to differences between group means, the more likely it is that the groups are systematically different, whereas the higher the proportion of total variance due to within-group variance, the more likely it is that apparent differences between group means arise from sampling error.
animal spirits|The term used by John Maynard Keynes (1883–1946) to convey the idea that major investment projects are usually undertaken not on the basis of careful calculation of the profits they are expected to make, but on the strength of ‘hunches’ of *entrepreneurs that, beneath the uncertainties that would make a rational and cautious person delay a decision, there is an opportunity to be grasped by whoever has the courage to try.
announcement effect|The effect of an announcement of a change in policy, even before it is actually put into effect. For example, a promise by the government to raise indirect taxes next year may lead to an immediate increase in consumer spending. Policy announcements can produce such effects only if the policy-maker has credibility.
annual general meeting|(AGM) A meeting of the voting *shareholders of a company, or the members of an association, at which the officers report on the previous year’s activities, and accounts are submitted for approval. AGMs normally elect the chief officers and directors of companies, and the chief officers and committee members of associations. In the UK, company AGMs appoint the company’s *auditors. Companies are required by law to hold AGMs, and associations are usually required to do so by their constitutions.
annualized growth rate|The rate of growth that would be achieved if the growth over a previous quarter or month were sustained for an entire year. The calculation of the annualized growth rate requires compounding of the quarterly or monthly growth. Multiplying the quarterly growth rate by four (or the monthly by twelve) gives the linear approximation to the annualized growth rate. See also economic growth.
annualized percentage rate of interest|(APR) A rate of interest that allows comparison between loan contracts with different terms and payment structures. The APR is defined as the rate of interest that equates the present discounted value of funds received to the present discounted value of payments made. Assume a loan contract provides £120 now (time 0) and £120 in two years’ time, and is repaid with five biannual payments of £50 beginning six months from now. The APR, denoted by r, is then defined as the solution to
Annual Population Survey|A UK survey, conducted at the individual and at the household level, on issues related to education, employment, ethnicity, and health. The survey has been conducted since 2004 and shares key variables with the *Labour Force Survey.
annual report and accounts|An annual report on a company’s or other organization’s activities during the previous *financial year, and *accounts covering this period. The annual report is normally presented by the chairman at the *annual general meeting of shareholders or members, and the accounts are presented by the treasurer. These form a major source of information on companies and other organizations. Copies of the annual report and accounts are usually sent to shareholders and members, either in full or in summary form.
annuity|A contract by which a financial institution such as an *insurance company agrees to provide a regular income for the remainder of the holder’s life. The name annuity arises from annual payments, but the payments can in fact be of any agreed frequency. The recipient will be a named person; it is also possible to contract for full or reduced payments for life to surviving spouses or other dependants. The payments may be either fixed in money terms, or *index-linked. Annuities enable the recipients to spend their capital as well as their income without the danger of running out of funds before they die.
annuity factor|The factor that converts a lump sum into a payment per period that is payable for a specified period of time. The inverse is the *annuity rate, which determines the present value of a set of payments of unit value per period. Common usage often mentions annuity rate when, in fact, referring to the annuity factor. See also annuity.
annuity rate|The present value of a series of payments of unit value per period that are payable for a specified period of time. The inverse is the *annuity factor, which converts the lump sum into a payment per period. Common usage often mentions annuity rate when, in fact, referring to the annuity factor. See also annuity.
anomalies|Economic choices that cannot be explained by the application of standard choice theory based on the *axioms of preference. Anomalies have been identified in empirical data and controlled experiments. Examples of anomalies include under-saving for retirement and purchasing lottery tickets with an expected return that is negative. The identification of anomalies has led to the development of *behavioural economics and the rejection of *expected utility theory. See also Allais paradox; experimental economics; prospect theory.
